[Problem name],[Solve duration],[(DD) Results generated],[(AR) Equations recorded],[(GGraph) Total nodes],[(Traceback) Solution length],[(Traceback) Solution depth],[Problem source],
[110-1],[89301],[226],[16],[178],[17],[7],[Chou-Angle-110],
[110-10],[71949],[262],[7],[163],[17],[8],[Chou-Angle-110],
[110-100],[643983],[1080],[16],[120],[31],[10],[Chou-Angle-110],
[110-101],[186397],[411],[14],[205],[15],[7],[Chou-Angle-110],
[110-102],[32861],[252],[10],[148],[10],[5],[Chou-Angle-110],
[110-103],[4263648],[3029],[37],[731],[60],[10],[Chou-Angle-110],
[110-104],[733656],[641],[27],[472],[66],[12],[Chou-Angle-110],
[110-107],[191626],[304],[11],[194],[25],[13],[Chou-Angle-110],
[110-108],[416074],[826],[17],[368],[35],[11],[Chou-Angle-110],
[110-109],[14549687],[5728],[58],[1795],[134],[14],[Chou-Angle-110],
[110-11],[292235],[892],[19],[184],[26],[8],[Chou-Angle-110],
[110-110],[14741718],[5819],[60],[1793],[114],[15],[Chou-Angle-110],
[110-12],[49587],[125],[11],[141],[15],[8],[Chou-Angle-110],
[110-13],[265527],[525],[20],[299],[29],[6],[Chou-Angle-110],
[110-14],[621068],[1016],[25],[328],[27],[7],[Chou-Angle-110],
[110-15],[4231811],[7086],[48],[1931],[51],[11],[Chou-Angle-110],
[110-16],[290357],[413],[19],[261],[12],[5],[Chou-Angle-110],
[110-17],[322839],[622],[20],[409],[25],[10],[Chou-Angle-110],
[110-18],[326250],[622],[20],[409],[27],[11],[Chou-Angle-110],
[110-19],[10979],[101],[4],[104],[11],[6],[Chou-Angle-110],
[110-2],[36735],[127],[17],[175],[14],[5],[Chou-Angle-110],
[110-20],[164026],[661],[17],[339],[27],[8],[Chou-Angle-110],
[110-21],[6855],[22],[6],[54],[14],[6],[Chou-Angle-110],
[110-22],[291718],[1002],[18],[301],[24],[7],[Chou-Angle-110],
[110-23],[204097],[825],[16],[320],[25],[8],[Chou-Angle-110],
[110-24],[121652],[238],[13],[180],[21],[9],[Chou-Angle-110],
[110-25],[4263985],[6498],[44],[857],[62],[9],[Chou-Angle-110],
[110-26],[130843],[123],[21],[243],[33],[6],[Chou-Angle-110],
[110-27],[1025143],[1742],[41],[373],[60],[7],[Chou-Angle-110],
[110-28],[623374],[1627],[29],[702],[26],[9],[Chou-Angle-110],
[110-29],[143966],[440],[13],[256],[30],[9],[Chou-Angle-110],
[110-3],[787974],[1443],[32],[569],[29],[8],[Chou-Angle-110],
[110-30],[69090],[143],[10],[150],[23],[8],[Chou-Angle-110],
[110-31],[37194],[122],[5],[58],[15],[7],[Chou-Angle-110],
[110-32],[13435],[58],[4],[102],[11],[6],[Chou-Angle-110],
[110-33],[90533],[333],[13],[283],[25],[8],[Chou-Angle-110],
[110-34],[12943],[56],[5],[75],[8],[6],[Chou-Angle-110],
[110-35],[401546],[1308],[24],[487],[29],[9],[Chou-Angle-110],
[110-36],[574225],[1227],[32],[574],[28],[7],[Chou-Angle-110],
[110-37],[54343],[331],[8],[134],[20],[8],[Chou-Angle-110],
[110-38],[37573],[125],[11],[162],[24],[6],[Chou-Angle-110],
[110-39],[43151],[249],[11],[165],[13],[6],[Chou-Angle-110],
[110-4],[52317],[143],[20],[180],[16],[5],[Chou-Angle-110],
[110-40],[4718],[23],[5],[49],[8],[4],[Chou-Angle-110],
[110-41],[1202390],[1542],[29],[465],[46],[10],[Chou-Angle-110],
[110-42],[1136651],[822],[25],[388],[49],[12],[Chou-Angle-110],
